channel_type,all_referrers_grouped,n,total,proportion,std_err,ci_lwr,ci_upr,percentage,on_off_platform,channel_type_referrer,order_var
mainstream,alternative social,58,47741,0.0012148886701158334,1.5942576698671398e-4,0.09024141668218741,0.15273631734097928,0.12148886701158335,off-platform,mainstream.alternative social,21
other,alternative social,1558,936104,0.0016643449873091024,4.2130626436308844e-5,0.15817689594939371,0.17469210151242678,0.16643449873091024,off-platform,other.alternative social,31
alternative,alternative social,597,25726,0.023206095001166136,9.386774195563854e-4,2.136628725883562,2.504590274349665,2.3206095001166136,off-platform,alternative.alternative social,1
extremist,webmail,118,4121,0.028633826741082263,0.0025979445474629157,2.3541855428054945,3.372579805410958,2.8633826741082262,off-platform,extremist.webmail,15
extremist,search engine,139,4121,0.03372967726280029,0.0028122511703476925,2.8217664968918807,3.9241689556681765,3.3729677262800286,off-platform,extremist.search engine,14
alternative,search engine,881,25726,0.0342455103786053,0.0011338329057371727,3.2023197883360446,3.6467822873850158,3.42455103786053,off-platform,alternative.search engine,4
other,search engine,35755,936104,0.038195542375633475,1.9810146304566573e-4,3.780726350806397,3.8583821243202983,3.8195542375633473,off-platform,other.search engine,34
alternative,webmail,1156,25726,0.04493508512788619,0.001291585311357275,4.240357791762593,4.746659233814644,4.493508512788619,off-platform,alternative.webmail,5
mainstream,search engine,2178,47741,0.045621164198487676,9.549878055309893e-4,4.374938809964694,4.749294029732842,4.562116419848768,off-platform,mainstream.search engine,24
other,webmail,45417,936104,0.04851704511464538,2.220678189604343e-4,4.808179218948292,4.895229803980783,4.851704511464538,off-platform,other.webmail,35
mainstream,webmail,3593,47741,0.07526025847803774,0.0012073880080446984,7.289377798227013,7.762673897380536,7.5260258478037745,off-platform,mainstream.webmail,25
mainstream,main social,4296,47741,0.0899855470140969,0.0013096787157890872,8.74185767311503,9.255251729704352,8.99855470140969,off-platform,mainstream.main social,22
other,main social,90508,936104,0.09668583832565612,3.0544905971498763e-4,9.608715816861475,9.72845184826975,9.668583832565613,off-platform,other.main social,32
extremist,main social,406,4121,0.09851977675321524,0.004642356670159614,8.94207576797024,10.76187958267281,9.851977675321525,off-platform,extremist.main social,12
alternative,main social,3827,25726,0.14876000932908343,0.0022186202620014016,14.441151361556068,15.310850504260618,14.876000932908342,off-platform,alternative.main social,2
extremist,alternative social,706,4121,0.1713176413491871,0.005869401013985965,15.98136153617746,18.282166733659956,17.131764134918708,off-platform,extremist.alternative social,11
extremist,other off-platform,728,4121,0.17665615141955837,0.005940919910458075,16.501194839506056,18.830035444405617,17.665615141955836,off-platform,extremist.other off-platform,13
mainstream,other off-platform,9191,47741,0.19251796150059697,0.0018044975916317323,18.898114622099875,19.60547767801952,19.251796150059697,off-platform,mainstream.other off-platform,23
alternative,other off-platform,6037,25726,0.23466531913239524,0.0026421898474483325,22.948662703139654,23.984401123339396,23.466531913239525,off-platform,alternative.other off-platform,3
other,other off-platform,237353,936104,0.2535540922803449,4.496477580621493e-4,25.267278267454312,25.443540188614673,25.355409228034492,off-platform,other.other off-platform,33
mainstream,YouTube channel,235,47741,0.004922393749607256,3.2031029385018466e-4,0.4294585573660894,0.5550201925553618,0.4922393749607256,on-platform,mainstream.youtube channel,27
other,YouTube channel,8641,936104,0.009230811961064156,9.88425969967264e-5,0.9037080470950571,0.9424543451177739,0.9230811961064156,on-platform,other.youtube channel,37
alternative,YouTube search,494,25726,0.019202363367799114,8.55619974209504e-4,1.7525348218348484,2.0879378517249743,1.9202363367799113,on-platform,alternative.youtube search,9
alternative,other on-platform,576,25726,0.02238980020213014,9.224054035856757e-4,2.0581885611102213,2.4197714793158065,2.238980020213014,on-platform,alternative.other on-platform,6
extremist,YouTube search,94,4121,0.022809997573404513,0.0023256846144768875,1.8251655729029814,2.7368339417779213,2.2809997573404512,on-platform,extremist.youtube search,19
extremist,other on-platform,95,4121,0.023052657122057753,0.0023377322391068284,1.847070193340837,2.7634612310707136,2.305265712205775,on-platform,extremist.other on-platform,16
alternative,YouTube channel,668,25726,0.025965948845525926,9.91523554569438e-4,2.4022562678569828,2.7909335012482024,2.5965948845525926,on-platform,alternative.youtube channel,7
mainstream,other on-platform,1246,47741,0.02609916005110911,7.296672931124006e-4,2.4669012156608807,2.752930794560941,2.609916005110911,on-platform,mainstream.other on-platform,26
other,other on-platform,34235,936104,0.03657179116850264,1.940084938787254e-4,3.619153452050034,3.695204781650494,3.6571791168502643,on-platform,other.other on-platform,36
other,YouTube search,39317,936104,0.04200067513865981,2.0732357392076492e-4,4.159432093377511,4.2407029343544504,4.200067513865981,on-platform,other.youtube search,39
mainstream,YouTube search,2128,47741,0.0445738463794223,9.444802108984299e-4,4.2722665166061375,4.642502759278322,4.45738463794223,on-platform,mainstream.youtube search,29
extremist,YouTube channel,190,4121,0.04610531424411551,0.003266813943591655,3.970235891467586,5.250826957355515,4.61053142441155,on-platform,extremist.youtube channel,17
extremist,YouTube homepage,322,4121,0.07813637466634311,0.004180792957681272,6.994202046928782,8.633072886339841,7.813637466634312,on-platform,extremist.youtube homepage,18
alternative,YouTube homepage,2441,25726,0.09488455259270777,0.0018271054493217847,9.130342591203707,9.846567927337848,9.488455259270777,on-platform,alternative.youtube homepage,8
other,YouTube homepage,96701,936104,0.10330155623734115,3.145680351165917e-4,10.268500288851264,10.391810958616967,10.330155623734115,on-platform,other.youtube homepage,38
mainstream,YouTube homepage,5664,47741,0.11864016254372552,0.0014799489634311394,11.573946257540047,12.154086251205056,11.864016254372551,on-platform,mainstream.youtube homepage,28
extremist,YouTube video,1323,4121,0.3210385828682359,0.007272770034806378,30.678395360001538,33.52932121364564,32.10385828682359,on-platform,extremist.youtube video,20
alternative,YouTube video,9049,25726,0.35174531602270076,0.002977150986780347,34.591010008861126,35.758053195679025,35.17453160227008,on-platform,alternative.youtube video,10
other,YouTube video,346619,936104,0.37027830241084325,4.990871753212941e-4,36.93000915472135,37.1256513274473,37.027830241084324,on-platform,other.youtube video,40
mainstream,YouTube video,19152,47741,0.4011646174148007,0.0022432066377282146,39.67679324048534,40.556130242474794,40.116461741480066,on-platform,mainstream.youtube video,30
