variable	alternative	extremist	mainstream	other
total visits	38322.075043135876	6589.583506024403	46167.95455856689	1202842.6492493923
total recs shown	180211.13137166548	41292.633319290595	375908.35419596627	9826478.373772739
total recs followed	722	144	5142	83416
rec_n_video_alternative_all	86378.23668787855	5447.8982816446505	9063.118122188089	90721.4687493607
rec_n_video_extremist_all	4226.228215933559	16961.363152497	507.19522552077365	8564.053119204884
rec_n_video_mainstream_all	14602.031253069836	2190.190198598328	177788.6204698574	248353.2391884352
rec_n_video_other_all	75004.63521478353	16693.181686550615	188549.42037840004	9478839.612715738
rec_match_alternative_match	415.9887196701477	28.518835287639014	24.451135858168097	290.124650090827
rec_match_extremist_match	22.857937738897306	171.36616999454813	3.089818355038203	76.88790625564063
rec_match_mainstream_match	151.05102954421395	19.90799999235488	3048.7603731854792	1748.85907679486
rec_match_other_match	226.56988818100103	51.12749555124029	1313.026417237738	94990.76694198421
