subscribed_group,n,total,percent,channel_type,stderr,ci_lwr95,ci_upr95,ci_lwr90,ci_upr90,total_label
not subscribed,2951.704261364039,41340.97371871051,7.139900190662726,"Alternative channel
(3%)",0.4739409364356111,6.210965827489787,8.068834553835666,6.360319253227111,7.919481128098342,"2,952"
subscribed to another,13234.384848921094,41340.97371871051,32.012755526683065,"Alternative channel
(3%)",0.4055303561113745,31.217907362827958,32.80760369053817,31.345702501988594,32.67980855137753,"13,234"
subscribed to current,25154.88460842538,41340.97371871051,60.847344282654205,"Alternative channel
(3%)",0.3077444730910999,60.24415853912915,61.45053002617926,60.341138326639296,61.353550238669115,"25,155"
not subscribed,1124.5721996367074,7329.943657800973,15.342167036166357,"Extremist channel
(0.5%)",1.0746901180512163,13.235465239859595,17.44886883247312,13.574235659649254,17.11009841268346,"1,125"
subscribed to another,2198.446172260617,7329.943657800973,29.99267490850215,"Extremist channel
(0.5%)",0.9772854293823664,28.076914323192536,31.908435493811762,28.384980238757606,31.600369578246692,"2,198"
subscribed to current,4006.9252859036483,7329.943657800973,54.665158055331496,"Extremist channel
(0.5%)",0.7864402539608224,53.12350891584601,56.20680719481698,53.37141544303816,55.95890066762483,"4,007"
not subscribed,18573.058920558848,48309.5164630828,38.445963198062685,"Mainstream media
(3.6%)",0.35695373011398346,37.746329214007844,39.14559718211753,37.858815301250154,39.03311109487522,"18,573"
subscribed to another,12961.618591044024,48309.5164630828,26.830362918140654,"Mainstream media
(3.6%)",0.38917873777276263,26.067567497203473,27.593158339077835,26.190208584147655,27.470517252133654,"12,962"
subscribed to current,16774.83895147993,48309.5164630828,34.723673883796664,"Mainstream media
(3.6%)",0.3675881533159334,34.003196291046294,35.444151476547034,34.119033581974534,35.328314185618794,"16,775"
not subscribed,60021.63100994094,1240844.6179948847,4.837159313865708,"Other channel
(93%)",0.08757396194485545,4.665517335044521,5.008801292686895,4.693112857392452,4.981205770338964,"60,022"
subscribed to another,803685.0608897614,1240844.6179948847,64.7691942435515,"Other channel
(93%)",0.053284707646287864,64.66475803376717,64.87363045333582,64.68154863348427,64.85683985361872,"803,685"
subscribed to current,377137.9260951824,1240844.6179948847,30.3936464425828,"Other channel
(93%)",0.07489722738709055,30.24685043117206,30.54044245399354,30.270451374491948,30.51684151067365,"377,138"
